frame.time_delta,ip.proto,ip.len,tcp.srcport,tcp.dstport,tcp.flags.syn,icmp.type,icmp.seq,icmp.code
"0.000748328","6","40","49155","53745","False",,,
"0.000296891","6","44","53745","4","True",,,
"0.000042722","6","44","53745","9943","True",,,
"0.000496888","6","44","53745","9877","True",,,
"0.000051861","6","44","53745","5825","True",,,
"0.000114999","6","44","53745","5915","True",,,
"0.000019887","6","44","53745","3827","True",,,
"0.000311219","6","44","53745","3261","True",,,
"0.000023987","6","44","53745","6502","True",,,
"0.000108629","6","44","53745","427","True",,,
"0.000016162","6","44","53745","3007","True",,,
"0.000099940","6","44","53745","6901","True",,,
"0.000021878","6","44","53745","1862","True",,,
"0.000398331","6","44","53745","3269","True",,,
"0.000021200","6","44","53745","6839","True",,,
"0.001356473","6","40","1187","53745","False",,,
"0.000001088","6","40","9618","53745","False",,,
"0.000000173","6","40","4","53745","False",,,
"0.000000169","6","40","9943","53745","False",,,
"0.000000175","6","40","9877","53745","False",,,
"0.000000173","6","40","5825","53745","False",,,
"0.000000170","6","40","5915","53745","False",,,
"0.000000182","6","40","3827","53745","False",,,
"0.000074114","6","40","3261","53745","False",,,
"0.000000207","6","40","6502","53745","False",,,
"0.000000191","6","40","427","53745","False",,,
"0.000000186","6","40","3007","53745","False",,,
"0.000000194","6","40","6901","53745","False",,,
"0.000111314","6","44","53745","146","True",,,
"0.000016718","6","44","53745","2013","True",,,
"0.000362458","6","44","53745","49159","True",,,
"0.000020546","6","44","53745","3404","True",,,
"0.000217081","6","44","53745","1234","True",,,
"0.000027082","6","44","53745","2009","True",,,
"0.000490270","6","40","1862","53745","False",,,
"0.000001306","6","40","3269","53745","False",,,
"0.000000162","6","40","6839","53745","False",,,
"0.000000164","6","40","146","53745","False",,,
"0.000000163","6","40","2013","53745","False",,,
"0.000000172","6","40","49159","53745","False",,,
"0.000000165","6","40","3404","53745","False",,,
"0.000000164","6","40","1234","53745","False",,,
"0.000198693","6","44","53745","1259","True",,,
"0.000026117","6","44","53745","3995","True",,,
"0.005100962","6","40","2009","53745","False",,,
"0.000000797","6","40","1259","53745","False",,,
"0.000000171","6","40","3995","53745","False",,,
"0.000298338","6","44","53745","211","True",,,
"0.000043862","6","44","53745","34571","True",,,
"0.000232607","6","44","53745","8333","True",,,
"0.000016401","6","44","53745","417","True",,,
"0.000172949","6","44","53745","3211","True",,,
"0.000016186","6","44","53745","1163","True",,,
"0.000104160","6","44","53745","30718","True",,,
"0.000018244","6","44","53745","32777","True",,,
"0.000094464","6","44","53745","2910","True",,,
"0.000016516","6","44","53745","3301","True",,,
"0.000348791","6","40","211","53745","False",,,
"0.000000588","6","40","34571","53745","False",,,
"0.000000169","6","40","8333","53745","False",,,
"0.000000175","6","40","417","53745","False",,,
"0.000000165","6","40","3211","53745","False",,,
"0.000000176","6","40","1163","53745","False",,,
"0.000000163","6","40","30718","53745","False",,,
"0.000000174","6","40","32777","53745","False",,,
"0.000089209","6","44","53745","10010","True",,,
"0.000015081","6","44","53745","49157","True",,,
"0.000297952","6","44","53745","1104","True",,,
"0.000042809","6","44","53745","6646","True",,,
"0.000234373","6","44","53745","1334","True",,,
"0.000020343","6","44","53745","1121","True",,,
"0.000200572","6","44","53745","808","True",,,
"0.000014600","6","44","53745","4899","True",,,
"0.000671502","6","40","2910","53745","False",,,
"0.000000399","6","40","3301","53745","False",,,
"0.000000187","6","40","10010","53745","False",,,
"0.000000190","6","40","49157","53745","False",,,
"0.000000191","6","40","1104","53745","False",,,
"0.000000181","6","40","6646","53745","False",,,
"0.000000165","6","40","1334","53745","False",,,
"0.000000173","6","40","1121","53745","False",,,
"0.000045837","6","40","808","53745","False",,,
"0.000041715","6","44","53745","691","True",,,
"0.000016410","6","44","53745","1175","True",,,
"0.000181879","6","44","53745","2800","True",,,
"0.000019897","6","44","53745","50636","True",,,
"0.000108894","6","44","53745","1461","True",,,
"0.000016195","6","44","53745","1041","True",,,
"0.000100341","6","44","53745","6009","True",,,
"0.000019090","6","44","53745","32784","True",,,
"0.003108394","6","40","4899","53745","False",,,
"0.000001156","6","40","691","53745","False",,,
"0.000000179","6","40","1175","53745","False",,,
"0.000000174","6","40","2800","53745","False",,,
"0.000000170","6","40","50636","53745","False",,,
"0.000000165","6","40","1461","53745","False",,,
"0.000000167","6","40","1041","53745","False",,,
"0.000000171","6","40","6009","53745","False",,,
"0.000151580","6","40","32784","53745","False",,,
"0.000118170","6","44","53745","9111","True",,,
"0.000025248","6","44","53745","1057","True",,,
"0.000155539","6","44","53745","1148","True",,,
"0.000017806","6","44","53745","2601","True",,,
"0.000715167","6","44","53745","27356","True",,,
"0.000031087","6","44","53745","2605","True",,,
"0.000180983","6","44","53745","8652","True",,,
"0.000021705","6","44","53745","3517","True",,,
